20210101,20,214
20210101,15,197
20210101,15,144
20210101,16,296
20210101,16,108
20210101,13,159
20210101,17,152
20210101,20,291
20210101,14,249
20210101,14,105
20210101,16,177
20210101,11,198
20210101,18,150
20210101,16,292
20210101,19,160
20210101,16,155
20210101,16,107
20210101,11,179
20210101,11,260
20210101,17,240
20210101,16,237
20210101,10,277
20210101,16,102
20210101,20,212
20210101,12,122
20210101,10,202
20210101,18,270
20210101,15,130
20210101,10,250
20210101,18,225
20210101,20,128
20210101,10,194
20210101,20,234
20210101,14,169
20210101,11,138
20210101,10,137
20210101,13,259
20210101,14,179
20210101,19,155
20210101,15,225
20210101,17,223
20210101,12,185
20210101,12,185
20210101,15,221
20210101,11,100
20210101,16,176
20210101,11,142
20210101,15,191
20210101,20,287
20210101,12,256
20210101,11,113
20210101,18,235
20210102,20,174
20210102,12,259
20210102,15,298
20210102,17,253
20210102,10,114
20210102,18,182
20210102,12,298
20210102,19,189
20210102,17,254
20210102,17,232
20210102,18,109
20210102,11,298
20210102,19,230
20210102,10,160
20210102,10,135
20210102,12,160
20210102,10,236
20210102,15,283
20210102,20,111
20210102,11,239
20210102,18,235
20210102,20,222
20210102,11,102
20210102,18,152
20210102,18,128
20210102,18,276
20210102,15,207
20210102,13,230
20210102,14,113
20210102,12,250
20210102,15,226
20210102,19,222
20210102,10,221
20210102,20,126
20210102,18,164
20210102,14,201
20210102,16,253
20210102,19,256
20210102,12,240
20210102,14,281
20210102,12,221
20210102,20,228
20210102,19,136
20210102,20,235
20210102,17,122
20210102,12,204
20210102,15,266
20210102,11,233
20210102,16,288
20210102,14,232
20210102,15,123
20210102,12,297
20210102,13,249
20210102,11,290
20210102,12,202
20210102,10,290
20210102,18,286
20210102,17,170
20210102,15,173
20210102,18,214
20210102,18,214
20210102,10,143
20210102,19,299
20210102,18,218
20210102,18,218
20210103,10,189
20210103,19,178
20210103,18,239
20210103,19,254
20210103,17,183
20210103,17,201
20210103,15,260
20210103,15,209
20210103,15,167
20210103,18,258
20210103,17,224
20210103,19,233
20210103,12,291
20210103,20,185
20210103,18,260
20210103,12,234
20210103,20,201
